name,description,address,city,state,zip,country,latitude,longitude,phone,website,hours,services,image_url
Arlington National Cemetery,United States military cemetery in Arlington County Virginia,"1 Memorial Ave",Arlington,VA,22211,US,38.8796,-77.0733,(877) 907-8585,https://www.arlingtoncemetery.mil/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""columbarium"",""military""]",
Hollywood Forever Cemetery,"Historic cemetery in Hollywood California",6000 Santa Monica Blvd,Los Angeles,CA,90038,US,34.0897,-118.3199,(323) 469-1181,https://hollywoodforever.com/,"{""mon"":""8:30-17:00"",""tue"":""8:30-17:00"",""wed"":""8:30-17:00"",""thu"":""8:30-17:00"",""fri"":""8:30-17:00"",""sat"":""8:30-17:00"",""sun"":""8:30-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Green-Wood Cemetery,"National Historic Landmark in Brooklyn New York",500 25th St,Brooklyn,NY,11232,US,40.6522,-73.9908,(718) 768-7300,https://www.greenwood.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Graceland Cemetery,"Historic cemetery in Chicago's Uptown neighborhood",4001 N Clark St,Chicago,IL,60613,US,41.9583,-87.6621,(773) 525-1105,https://www.gracelandcemetery.org/,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""mausoleum"",""columbarium""]",
Forest Lawn Memorial Park,"Famous cemetery with celebrity burials",1712 S Glendale Ave,Glendale,CA,91205,US,34.1267,-118.2426,(800) 204-5494,https://forestlawn.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Oak Woods Cemetery,"Historic cemetery in Chicago's South Side",1035 E 67th St,Chicago,IL,60637,US,41.7733,-87.6013,(773) 288-3800,https://www.oakwoodschicago.com/,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""cremation"",""mausoleum""]",
Woodlawn Cemetery,"National Historic Landmark in the Bronx",517 E 233rd St,Bronx,NY,10470,US,40.8876,-73.8689,(718) 920-1474,https://www.woodlawn.org/,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Bonaventure Cemetery,"Famous historic cemetery in Savannah Georgia",330 Bonaventure Rd,Savannah,GA,31404,US,32.0442,-81.0459,(912) 651-6843,https://www.bonaventurecemetery.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum""]",
Calvary Cemetery,"One of the largest Catholic cemeteries",49-02 Laurel Hill Blvd,Queens,NY,11377,US,40.7397,-73.9157,(718) 786-8000,,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""mausoleum"",""columbarium""]",
St. Louis Cemetery No. 1,"Historic above-ground tomb cemetery",425 Basin St,New Orleans,LA,70112,US,29.9597,-90.0708,(504) 596-3050,,"{""mon"":""9:00-15:00"",""tue"":""9:00-15:00"",""wed"":""9:00-15:00"",""thu"":""9:00-15:00"",""fri"":""9:00-15:00"",""sat"":""9:00-15:00"",""sun"":""9:00-15:00""}","[""burial"",""mausoleum""]",
Mount Auburn Cemetery,"First rural garden cemetery in the US",580 Mt Auburn St,Cambridge,MA,02138,US,42.3717,-71.1462,(617) 547-7105,https://mountauburn.org/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""columbarium""]",
Laurel Hill Cemetery,"Historic garden cemetery in Philadelphia",3822 Ridge Ave,Philadelphia,PA,19132,US,40.0083,-75.1891,(215) 228-8200,https://laurelhillcemetery.org/,"{""mon"":""9:00-16:30"",""tue"":""9:00-16:30"",""wed"":""9:00-16:30"",""thu"":""9:00-16:30"",""fri"":""9:00-16:30"",""sat"":""9:00-16:30"",""sun"":""9:00-16:30""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
